Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
Kushage,4.42424242424242,34,"['Uplifted 100', 'Euphoric 100', 'Creative 97.0588235294118', 'Relaxed 97.0588235294118', 'Aroused 94.1176470588235', 'Pain 100', 'Stress 75', 'Depression 56.25', 'Muscle Spasms 56.25', 'Inflammation 31.25', 'Dry Eyes 100', 'Dry Mouth 98', 'Dizzy 3', 'Paranoid 3', 'Headache 1']","This sativa-dominant marijuana hybrid strain was developed to be a resilient, hardy grower and won its breeders at T.H. Seeds 3rd place in the sativa category at the 2005 High Times Cannabis Cup. Kushage plants come from OG Kush and SAGE parents, and like many sativas, they have a slightly longer flowering time at 10-11 weeks. These plants have lots of branches with dark green leaves, but its buds are light green and smell like fresh cut pine. Kushage is a good choice for a cerebral buzz and might just get those creative juices flowing.","['Spicy/Herbal', 'Woody', 'Earthy']","[100.0, 66.5952890792291, 14.3468950749465, 0.0, 0.0, 33.4047109207709]",21.0,0.385
Kushashima,4.0,4,"['Relaxed 100', 'Sleepy 50', 'Uplifted 50', 'Creative 50', 'Energetic 50', 'Depression 100', 'Pain 100']",Kushashima is a hybrid strain that competed in the 2014 L.A. Cannabis Cup.,"['Pungent', 'Pine', 'Sweet']","[50.0, 100.0, 50.0, 0.0, 0.0, 50.0]",,0.41
Kushberry,4.32450331125828,154,"['Relaxed 100', 'Happy 71.984649122807', 'Sleepy 62.0065789473684', 'Uplifted 55.4824561403509', 'Hungry 54.4956140350877', 'Lack of Appetite 100', 'Insomnia 67.2782874617737', 'Stress 66.6666666666667', 'Eye Pressure 63.7614678899083', 'Pain 63.4556574923547', 'Dry Mouth 100', 'Anxious 45.777027027027', 'Dry Eyes 39.8648648648649', 'Dizzy 14.8648648648649', 'Headache 14.3581081081081']","Kushberry is the perfect blend of two West Coast flavors, Blueberry from Oregon and the OG Kush from LA. The exotic flavor doesn’t rival its strength; it is one of DNA Genetics strongest strains. Kushberry is known for relieving pain, sleeplessness, and appetite loss.","['Berry', 'Earthy', 'Sweet']","[100.0, 80.8755760368664, 21.1981566820277, 2.99539170506912, 5.06912442396313, 20.2764976958525]",21.0,0.7
L'Eagle Eagle,4.523809523809519,21,"['Uplifted 100', 'Energetic 100', 'Talkative 97.0588235294118', 'Euphoric 95.5882352941177', 'Focused 95.5882352941177', 'Depression 100', 'Fatigue 100', 'Nausea 92.5373134328358', 'Stress 7.46268656716418', 'Inflammation 2.98507462686567', 'Dizzy 100', 'Dry Eyes 100', 'Headache 100', 'Paranoid 100', 'Anxious 100']","The L'Eagle Eagle hybrid is a blend of Candy Haze and Skunk #6 genetics offered at L'Eagle Services in Denver, Colorado. It’s fruity on the inhale, while the exhale brings a sweet and spicy aftertaste alongside an inspirational buzz that encourages activity. Highly potent and energetic, this is a great daytime strain for users with a high THC tolerance.","['Pungent', 'Lemon', 'Cheese']","[100.0, 24.0105540897098, 3.95778364116095, 0.0, 3.95778364116095, 0.0]",,0.65
L.A. Sunshine,4.5,8,"['Uplifted 100', 'Energetic 100', 'Happy 100', 'Euphoric 66.6666666666667', 'Creative 33.3333333333333', 'Depression 100', 'Fatigue 100', 'Stress 100']","L.A Sunshine is a designer strain by Darkhorse Genetics crafted for the cannabis comedy duo Cheech & Chong. Its complex heritage is a grab bag of genetic crosses, including Chem Soda F1 x Starfighter (Tahoe phenotype) x (Coal Creek Kush x Strawberry Diesel). This hybrid blends active body effects with cerebral indicas to offer a bud that is functional (at smaller doses) but potent enough to satisfy seasoned consumers.","['Citrus', 'Earthy', 'Spicy/Herbal']","[100.0, 33.2833583208396, 16.6416791604198, 0.0, 0.0, 0.0]",,0.53
L.A.K. Federal Reserve,5.0,12,"['Relaxed 100', 'Sleepy 96.1538461538462', 'Hungry 96.1538461538462', 'Euphoric 61.5384615384615', 'Happy 61.5384615384615', 'Lack of Appetite 100', 'Stress 100', 'Headaches 54.5454545454545', 'Nausea 51.5151515151515', 'Pain 51.5151515151515', 'Dry Mouth 100']","Federal Reserve by Los Angeles Kush is another heavy indica cut out of Southern California. Created by crossing SFV OG with a special Los Angeles Kush phenotype, this strain offers deep relaxation and sedation. Federal Reserve's terpene profile is strong and pungent, smelling of pine, gas, and skunk. Its body effects can help sooth minor physical pain and help nullify stress and anxiety.","['Earthy', 'Pine', 'Diesel']","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.99
LA Cake,4.66666666666667,6,"['Euphoric 100', 'Relaxed 100', 'Sleepy 18.1818181818182', 'Uplifted 18.1818181818182', 'Happy 9.09090909090909', 'Pain 100', 'Stress 100', 'Depression 50', 'Fatigue 50', 'Headaches 50', 'Dry Eyes 100', 'Headache 75', 'Paranoid 75', 'Anxious 75', 'Dry Mouth 12.5']","Bred by Los Angeles Kush, LA Cake combines the legendary genetics of GG4 (f.k.a. Gorilla Glue #4) and LA Kush to create a relaxing strain perfect for winding down. Inheriting strong traits from both parents, this hybrid carries the classic OG taste of earthy diesel. Its aroma is rich with diesel and pine notes accented by a sour and earthy fragrance. LA Cake is a great option for those seeking pain relief or more powerful euphoria, as this strain imbues the mind and body with tranquilizing relaxation.",[],"[100.0, 0.0, 14.2857142857143, 0.0, 0.0, 0.0]",,0.54
LA Chocolat,4.53246753246753,77,"['Relaxed 100', 'Happy 83.9174058455722', 'Euphoric 60.9931656245456', 'Uplifted 52.995492220445', 'Focused 40.4900392613058', 'Pain 100', 'Stress 89.1267025294723', 'Depression 64.3813666018084', 'Insomnia 57.5598031360879', 'Inflammation 46.9955362252489', 'Dry Mouth 100', 'Dry Eyes 36.8527625108476', 'Headache 25.5134509690483', 'Dizzy 1.61990164882846', 'Paranoid 1.61990164882846']","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.","['Coffee', 'Earthy', 'Sweet']","[100.0, 58.2064297800338, 10.9983079526227, 0.0, 0.0, 0.0]",24.0,0.55
LA Confidential,4.30287206266319,1170,"['Relaxed 100', 'Euphoric 71.2934643632392', 'Happy 63.7859400822769', 'Sleepy 59.0940496277047', 'Hungry 41.1283500824755', 'Stress 100', 'Pain 81.7073570456075', 'Insomnia 71.9312337236428', 'Depression 57.1422831607703', 'Lack of Appetite 50.0812914717792', 'Dry Mouth 100', 'Dry Eyes 54.2070955416008', 'Dizzy 28.8514180121208', 'Paranoid 13.5367696572028', 'Anxious 9.20960114004729']","LA Confidential is known as a very popular and successful strain. Its buds have a frosty, lime green appearance and little purple leaves. The taste is smooth and piney, with a classic skunky aroma that does not linger for too long. Overall, LA Confidential is a well-rounded strain that delivers a fast-approaching sensation that is both psychedelic and super calming on the mind and body. For newer patients seeking relief, LA Confidential can both lull you to sleep and treat acute pain.","['Earthy', 'Pine', 'Sweet']","[100.0, 80.5251641137856, 24.2888402625821, 6.34573304157549, 1.96936542669584, 5.90809628008753]",20.0,0.95
LA Jack,4.0,2,"['Euphoric 100', 'Relaxed 96.551724137931', 'Tingly 93.1034482758621', 'Happy 93.1034482758621', 'Hungry 93.1034482758621', 'Pain 100', 'Stress 100', 'Depression 66.6666666666667', 'Insomnia 66.6666666666667', 'Fatigue 33.3333333333333', 'Dry Mouth 100', 'Paranoid 50', 'Anxious 50', 'Dry Eyes 25', 'Headache 25']","LA Jack is a rare sativa strain with a mysterious heritage. With its true cross unknown, many cannabis aficionados that have encountered this west coast native say she is a cross of Candy Jack and LA Confidential. With a rich lemon/pine smoke that adopts a fruit salad of flavors on the exhale, this spacey strain offers mental energy and a weighted body.","['Berry', 'Apple', 'Blueberry']","[28.6, 100.0, 28.6, 0.0, 0.0, 42.8]",19.0,0.5
LA Kookies,4.66666666666667,12,"['Happy 100', 'Talkative 93.6974789915966', 'Energetic 67.2268907563025', 'Euphoric 67.0168067226891', 'Relaxed 63.2352941176471', 'Lack of Appetite 100', 'Pain 62.109375', 'Inflammation 43.359375', 'Muscle Spasms 24.609375', 'Stress 24.609375', 'Dizzy 100', 'Anxious 100', 'Dry Eyes 65.625', 'Dry Mouth 65.625', 'Headache 50']","LA Kookies is Los Angeles Kush’s version of the legendary California native, Girl Scout Cookies. This strain takes a potent GSC phenotype and crosses it with OG Kush Breath, a genetic relative of GSC. This tertiary backcross enriches the strain’s Cookie attributes while enhancing its savory terpene profile. The aroma is pungent and doughy with touches of pine, while the flavor is sweet with candied cherries, butter cookies, and earth. This perfect middle-of-the-road hybrid relaxes the body while enhancing mood, making it a natural complement for consumers suffering from chronic pain.","['Sweet', 'Earthy', 'Coffee']","[100.0, 15.3940886699507, 7.63546798029557, 0.0, 0.0, 0.0]",,0.49
LA Kush,4.4210526315789505,38,"['Relaxed 100', 'Talkative 70.3641456582633', 'Tingly 68.7955182072829', 'Happy 19.7198879551821', 'Uplifted 14.0616246498599', 'Insomnia 100', 'Stress 69.3069306930693', 'Depression 48.5148514851485', 'Nausea 41.5841584158416', 'Pain 41.5841584158416', 'Anxious 100', 'Dizzy 54.0229885057471', 'Paranoid 50', 'Dry Mouth 28.1609195402299', 'Dry Eyes 16.0919540229885']","Originating in Los Angeles, California, LA Kush is a hybrid with obscure genetic roots. Not to be confused with OG Los Angeles Kush,  the general consensus is that LA Kush is a variety of OG Kush, and possibly a select phenotype of Abusive OG. In spite of the mystery, LA Kush presents itself as an earthy mix of pine and menthol flavors. Its happy effects bring a smile to your face, lifting your mood and relaxing sore muscles. If you are looking to alleviate stress or need a spark of creativity, look to LA Kush.","['Pine', 'Citrus', 'Sweet']","[100.0, 100.0, 18.1222707423581, 0.0, 0.0, 0.0]",20.0,0.5
LA OG,4.40909090909091,67,"['Relaxed 100', 'Euphoric 66.5282392026578', 'Sleepy 31.5614617940199', 'Tingly 30.0664451827242', 'Happy 26.2873754152824', 'Pain 100', 'Insomnia 72.3529411764706', 'Stress 72.3529411764706', 'Depression 43.6470588235294', 'Muscle Spasms 43.6470588235294', 'Dry Mouth 100', 'Anxious 81.8063677712801', 'Paranoid 22.3521767381417', 'Dry Eyes 14.6848602988954', 'Dizzy 2.92397660818713']",LA OG is a potent variety of medical cannabis with an earthy taste and a powerful head and body high.,"['Earthy', 'Flowery', 'Woody']","[100.0, 81.3807531380753, 11.7154811715481, 4.60251046025105, 2.30125523012552, 9.20502092050209]",18.0,0.5
LA Ultra,4.68181818181818,20,"['Euphoric 100', 'Happy 100', 'Relaxed 100', 'Sleepy 54.5454545454545', 'Tingly 54.5454545454545', 'Insomnia 100', 'Stress 85.7142857142857', 'Pain 71.4285714285714', 'Headaches 57.1428571428572', 'Cramps 42.8571428571429', 'Dry Mouth 100', 'Dry Eyes 80', 'Dizzy 20', 'Paranoid 20']","LA Ultra by Resin Seeds is a strong indica strain whose genetics are kept secret, but its breeders and name hint at a LA Confidential and MK Ultra cross. An 80/20 indica-dominant hybrid, LA Ultra provides a mesmerizing, trippy high that lends a spark to creativity if you can harness it. This indica is spicy and fruity in fragrance, and its buds grow with chunky, finger-like calyxes that are utterly drenched in resin.","['Lemon', 'Chemical', 'Lime']","[100.0, 15.7828282828283, 10.479797979798, 0.0, 0.0, 0.0]",22.5,0.8
LA Woman,4.18181818181818,88,"['Giggly 100', 'Euphoric 88.5135135135135', 'Relaxed 87.8378378378378', 'Hungry 78.3783783783784', 'Creative 74.3243243243243', 'Pain 100', 'Depression 90.3225806451613', 'Lack of Appetite 79.8387096774193', 'Stress 73.3870967741936', 'Nausea 50.8064516129032', 'Dry Mouth 100', 'Dry Eyes 78.6666666666667', 'Paranoid 62.6666666666667', 'Dizzy 61.3333333333333', 'Headache 4']","LA Woman is a match of two multi-award winning strains by DNA Genetics, Martian Mean Green and LA Confidential. This strain's taste is sweet and robust with the flavor lasting well after the exhale. It's hard to go wrong with LA Woman's incredible smell and potency. This strain has frosty buds and is definitely a crowd-pleaser.","['Earthy', 'Citrus', 'Sweet']","[90.2612826603325, 100.0, 27.5534441805226, 11.8764845605701, 0.0, 7.83847980997625]",20.0,0.5
LAPD,4.692307692307691,12,"['Uplifted 100', 'Energetic 80', 'Creative 60', 'Euphoric 60', 'Happy 60', 'Pain 100']","LAPD is a perfectly balanced hybrid named after parent strains, LA Confidential and Purple Diesel. A flavorful medley of sweet grape, earthy pine, and spicy pepper build the complex aroma of LAPD’s compact crimson and purple buds. Small to moderate doses induce a mellow, cerebral euphoria that sinks down to the rest of the body in a full physical calm. According to its breeders at California Bean Bank, LAPD’s abbreviated name appropriately describes these variable effects: “to protect and serve, or to take you out.” LAPD is typically chosen by patients treating pain, cramps, stress, and fatigue. This hybrid grows best in greenhouse gardens using sea or screen of green methods, with a flowering time of 50 to 60 days.","['Diesel', 'Pepper', 'Pungent']","[100.0, 16.6666666666667, 8.26666666666667, 0.0, 0.0, 8.26666666666667]",25.0,0.5
LSD,4.37846481876333,956,"['Relaxed 100', 'Happy 98.1903193442747', 'Euphoric 85.3423619054831', 'Uplifted 65.8238436874362', 'Creative 65.0063504683302', 'Stress 100', 'Depression 87.4843988070153', 'Pain 67.172455992479', 'Lack of Appetite 60.6920851298343', 'Fatigue 48.5290303757254', 'Dry Mouth 100', 'Dry Eyes 51.0631509848836', 'Anxious 36.5804730930074', 'Paranoid 26.2978383514733', 'Dizzy 25.1649123451293']","The LSD strain was bred by Barneys Farm, with a lineage from Mazar-I-Sharif and Skunk #1. It is a disease-resistant plant that does well in most growing conditions. The buds form in curved triangles, yielding approximately 600 grams per square meter. Flowering time is approximately 8-9 weeks. This marijuana strain is popular for delivering a vivid and psychedelic experience with a powerful body buzz and cerebral high. The THC content has been measured up to 24% with a CBD of 1.3%.","['Citrus', 'Earthy', 'Sweet']","[100.0, 61.1742424242424, 15.3409090909091, 4.16666666666667, 2.84090909090909, 5.87121212121212]",18.5,0.5
LVPK,4.5,25,"['Happy 100', 'Euphoric 81.25', 'Relaxed 81.25', 'Uplifted 68.75', 'Creative 68.75', 'Nausea 100', 'Pain 100', 'Stress 100', 'Lack of Appetite 75', 'Headaches 62.5', 'Paranoid 100', 'Dry Eyes 75', 'Dry Mouth 75', 'Dizzy 50']","LVPK, or Las Vegas Purple Kush, is a member of the notorious Purple Kush family of California. This strain is primarily a cross between Purple Afghani and Hindu Kush, though other strains may be in the mix. While LVPK is an indica-dominant hybrid, it combines the sharp cerebral qualities of sativas with the body-heavy, sleepy effects of indicas. With a dark, herbal taste and skunky smell, this strain is sure to provide users, especially kush lovers, with a satisfying medicated experience.","['Sweet', 'Earthy', 'Spicy/Herbal']","[100.0, 44.4036697247706, 11.1926605504587, 0.0, 0.0, 27.8899082568807]",,0.64
La Blanca,4.0,5,"['Relaxed 100', 'Creative 87.5', 'Focused 62.5', 'Talkative 50', 'Giggly 50', 'Cramps 100', 'Dry Mouth 100', 'Dry Eyes 66.6666666666667', 'Paranoid 33.3333333333333', 'Anxious 16.6666666666667']","La Blanca by Kannabia Seed Company is a balanced hybrid with personality. Created by crossing Black Domina x Snow White x Great White Shark, La Blanca holds true to its lineage, offering a blanket of white, snowy trichomes and a funky fragrance of sweet citrus and pungent earth. Kannabia boosts the flowering time of this strain through the addition of its Black Domina, giving La Blanca a round 60-day flowering time. La Blanca is also quite mold and pest-resistant, making it an ideal strain for seasonal outdoor grows. Enjoy its stoney effects to stimulate appetite and relax muscles.","['Woody', 'Spicy/Herbal', 'Pepper']","[100.0, 66.6666666666667, 100.0, 0.0, 0.0, 0.0]",12.25,0.5
La Blanca Gold,4.33333333333333,3,"['Relaxed 100', 'Euphoric 88.8888888888889', 'Sleepy 66.6666666666667', 'Talkative 11.1111111111111', 'Tingly 11.1111111111111', 'Stress 100', 'Inflammation 85.7142857142857', 'Muscle Spasms 85.7142857142857', 'Pain 85.7142857142857', 'Fatigue 28.5714285714286', 'Dry Mouth 100']","La Blanca Gold by Vision Seeds is a skunky blend of potent genetics. It gets its name from the decadent amount of trichomes this plant produces, glazing the surfaces of the flowers and leaves in a sheen of white gold. This generous resin production comes from its lineage of Super Skunk, Great White, and Skunk #1. Growing as a large plant, La Blanca Gold has an ample yield and an average 9-week flowering cycle. Enjoy La Blanca Gold’s tranquil, relaxing buzz near the end of the day to help reduce stress.","['Earthy', 'Coffee']","[25.0, 100.0, 0.0, 0.0, 0.0, 0.0]",,0.99
La Niña,4.66666666666667,3,"['Uplifted 100', 'Creative 100', 'Energetic 100', 'Talkative 81.8181818181818', 'Euphoric 81.8181818181818', 'Headaches 100', 'Pain 100', 'Depression 50', 'Inflammation 50', 'Insomnia 50']","La Niña, a close relative of El Niño, is a sativa-dominant hybrid cross between Haze and White Widow. These large, airy buds offer a mild sweet, fruity aroma and clear, functional effects that make this strain a great daytime choice. Not recommended for beginning growers, this tall plant requires judicious attention until flowering between 8 and 10 weeks.","['Sweet', 'Earthy']","[100.0, 59.8920863309352, 19.9640287769784, 0.0, 0.0, 0.0]",14.5,0.5
La Reina de Africa,4.33333333333333,3,"['Sleepy 100', 'Giggly 100', 'Happy 100', 'Relaxed 100', 'Aroused 50', 'Depression 100', 'Lack of Appetite 100', 'Stress 100', 'Fatigue 50', 'Inflammation 50', 'Dry Mouth 100']","La Reina de Africa is a sativa-dominant cross of Afghani x Thai x AK-47. This luscious and stimulating plant by Kannabia Seed Company produces a generous yield with a fair flowering time due to its Afghani parentage. These recessive indica-dominant genetics also contribute a spicy undertone to the strain’s primarily tropical bouquet. La Reina de Africa’s uplifting mental state gives way to smiles and giggling, while the physical effects remain active but cozy.","['Spicy/Herbal', 'Flowery', 'Lavender']","[100.0, 100.0, 0.0, 0.0, 0.0, 0.0]",,0.35
Lady Liberty,4.25,3,"['Sleepy 100', 'Hungry 100', 'Relaxed 100']","Lady Liberty is a balanced 50/50 hybrid strain that delivers a strong blast of energized euphoria alongside a sweet grapefruit aroma. Notes of citrus arrive on the inhale while sweet earthiness is unleashed on the exhale in a flavorful introduction to Lady Liberty’s dual-edged head and body effects. Relaxation overcomes your physical senses while uplifting euphoria shakes creativity and happiness wide awake. She wears her potency in a crystal coat of trichomes, a shining testament to Lady Liberty’s THC content which often surpasses 22%.",['Sweet'],"[100.0, 50.0, 50.0, 0.0, 0.0, 0.0]",,0.5
Ladyburn 1974,4.15384615384615,8,"['Relaxed 100', 'Euphoric 84.8484848484848', 'Creative 54.5454545454545', 'Giggly 51.5151515151515', 'Hungry 51.5151515151515', 'Fatigue 100', 'Headaches 88.2352941176471', 'Insomnia 88.2352941176471', 'Stress 82.3529411764706', 'Cramps 17.6470588235294', 'Paranoid 100', 'Dry Mouth 15.3846153846154']","Ladyburn 1974 by Green House Seeds is an indica-dominant hybrid cross between Jack Herer and Ice Dream. Balanced effects offer both physical and mental relief, as well as effective pain management. Beginner growers will find success in both indoor or outdoor grows, with flowers at around 9 weeks.","['Earthy', 'Woody', 'Spicy/Herbal']","[100.0, 85.6164383561644, 28.5388127853881, 0.0, 14.1552511415525, 0.0]",21.8,0.565
Lake of Fire,4.54166666666667,48,"['Relaxed 100', 'Happy 77.6293823038397', 'Euphoric 59.7662771285476', 'Uplifted 55.2587646076795', 'Creative 29.8831385642738', 'Stress 100', 'Pain 82.7250608272506', 'Insomnia 36.9829683698297', 'Muscle Spasms 36.9829683698297', 'Lack of Appetite 32.6034063260341', 'Dry Mouth 100', 'Anxious 54.3147208121827', 'Dry Eyes 27.4111675126904', 'Dizzy 9.13705583756345']","Lake of Fire is a hybrid of Gorilla Glue #4 and Kobain Kush bred by Red Eyed Genetics. The result is a heavily frosted, chocolate, and pine flavored mixture of diesel fumes that produce balanced effects that stimulate the mind while relaxing the body. The influence of Kobain Kush genetics adds vigor and minimizes difficulty in cultivating a spinoff of the award-winning Gorilla Glue #4.","['Earthy', 'Diesel', 'Pine']","[100.0, 47.1819645732689, 8.37359098228663, 0.0, 5.47504025764895, 0.0]",18.0,0.5
Lamb's Bread,4.41755319148936,765,"['Happy 100', 'Uplifted 93.1732737762889', 'Euphoric 79.6042338334444', 'Relaxed 78.0169665531961', 'Energetic 74.1185017080624', 'Stress 100', 'Depression 84.624573226718', 'Pain 50.2660925841735', 'Lack of Appetite 27.7574234036674', 'Insomnia 24.0726874013853', 'Dry Mouth 100', 'Dry Eyes 46.8632138491042', 'Dizzy 27.0881364669272', 'Headache 26.7504687858388', 'Anxious 22.3052203707251']","Also called ""Lamb's Breath,"" Lamb's Bread is a bright green and sticky sativa strain. The effects have been known to give mass amounts of energy and positive introspection. Stress subsides quickly from the Lamb's Bread buzz, which can help ease depression. The origins of this plant comes from Jamaica and it has been reported that even Bob Marley himself has encountered this wonderful slice of cannabis genealogy.","['Earthy', 'Woody', 'Pungent']","[100.0, 56.2613430127042, 15.6079854809437, 3.62976406533575, 1.81488203266788, 4.17422867513612]",14.0,0.050000000000000044
Lambo OG,4.4666666666666694,14,"['Euphoric 100', 'Happy 71.4285714285714', 'Sleepy 64.2857142857143', 'Hungry 64.2857142857143', 'Relaxed 57.1428571428571', 'Pain 100', 'Nausea 46.6666666666667', 'Stress 46.6666666666667', 'Insomnia 40', 'Muscle Spasms 33.3333333333333', 'Dry Mouth 100', 'Dizzy 62.5', 'Dry Eyes 37.5', 'Headache 25', 'Paranoid 12.5']","Created by T.H. Seeds, Lambo is notable for being bred specifically to grow well outside. A cross of Jamaican Haze, Jamaican Purple and Super Afghan, this “guerilla grower” has a strong natural resistance to molds and pests and an 8 week flowering time, making it ideal for those in warmer climates who want to give outdoor growing a try. Originally named Rambo, this strain has been redubbed thanks to some litigious copyright people, but it’s still the same good stuff.","['Pine', 'Citrus', 'Tropical']","[92.4568965517241, 100.0, 0.0, 15.301724137931, 0.0, 7.75862068965517]",,0.54
Lamborghini,4.25,8,"['Relaxed 100', 'Sleepy 94.8275862068966', 'Uplifted 89.6551724137931', 'Euphoric 84.4827586206897', 'Happy 84.4827586206897', 'Depression 100', 'Stress 100', 'Fatigue 50', 'Headaches 50', 'Insomnia 50', 'Dry Eyes 100', 'Dizzy 86.9565217391304', 'Dry Mouth 86.9565217391304', 'Paranoid 6.52173913043478']","Lamborghini, or just Lambo, is a sativa-dominant hybrid strain that combines the upbeat, high-energy Lamb’s Bread with the relaxing and blissful qualities of Holy Grail Kush. This strain inherits a complex flavor profile that begins with a sharp piney inhale and ends with a sour lime exhale. Its large buds bloom with a sticky coat of crystal trichomes in a show of Lambo’s potency.","['Citrus', 'Diesel', 'Pine']","[100.0, 100.0, 16.6666666666667, 0.0, 0.0, 0.0]",,0.28
Lambs in Space,4.0,4,"['Euphoric 100', 'Aroused 60', 'Tingly 60', 'Giggly 60', 'Talkative 40', 'Depression 100', 'Insomnia 100', 'Nausea 100', 'Pain 100', 'Stress 100', 'Dry Eyes 100', 'Dry Mouth 100']","Lambs in Space by Pilot Farms is a balanced cross of Lambs Sour Diesel and Space Candy. It offers a focused, happy buzz that is perfect for social gatherings. The strain’s rich aroma of lemon, mango, and fuel will draw people in, while the thoughtful, giggly buzz promotes energized conversation and good vibes. Lambs in Space also has a vivid appearance, expressing bright green flowers with amber stigma. Enjoy Lambs in Space throughout the day for a happy, focused buzz.","['Sweet', 'Citrus', 'Pineapple']","[100.0, 0.0, 0.0, 0.0, 33.3333333333333, 0.0]",,0.53
Larry Bird Kush,4.68,25,"['Relaxed 100', 'Euphoric 88.8888888888889', 'Sleepy 86.4197530864198', 'Uplifted 85.1851851851852', 'Happy 85.1851851851852', 'Muscle Spasms 100', 'Pain 100', 'Stress 100', 'Depression 79.5454545454545', 'Insomnia 79.5454545454545', 'Dry Mouth 100', 'Anxious 79.5454545454545', 'Headache 36.3636363636364', 'Dry Eyes 20.4545454545455', 'Dizzy 13.6363636363636']","Larry Bird Kush is a nearly perfect 50/50 hybrid strain named after the famous Boston Celtics basketball player. This strain combines Sunset Sherbet and Thin Mint Girl Scout Cookies from the famous west coast tastemakers Cookie Fam Genetics. The aroma of “The Great White Hope” is thick with sweet grape tang reminiscent of Grape Crush. Deep purple sugar leaves and a dense layer of trichomes illustrate the strain’s indica parentage. LBK’s effects are more uplifting and heady, making it a perfect strain for consumers looking for an indica flavor and smell while retaining physical sativa effects.","['Orange', 'Earthy', 'Mint']","[100.0, 22.2666666666667, 0.0, 3.73333333333333, 3.73333333333333, 3.73333333333333]",25.0,0.5
Larry OG,4.29246676514033,692,"['Relaxed 100', 'Happy 74.6665114123203', 'Uplifted 59.2262736673082', 'Euphoric 57.8153461844904', 'Focused 40.7904847956352', 'Pain 100', 'Stress 79.6728105812582', 'Depression 75.4621447094976', 'Inflammation 48.9413590698248', 'Fatigue 45.9930569571029', 'Dry Mouth 100', 'Dry Eyes 55.6115855277878', 'Anxious 37.1279695409916', 'Paranoid 35.5236996007548', 'Headache 23.3726113579853']","Larry OG, also called Lemon Larry, is yet another member of the famous ocean-grown family. Originally created in Orange County, this indica is a cross between OG Kush and SFV OG. Larry OG produces a potent yet easy body buzz that will allow you to relax while getting things done. The effects are happy but not overwhelming. Like other members of the OG family, this strain has a very clean and piney aroma. The nugs tend to be dense and feature distinct burnt orange hairs that are longer than average.","['Lemon', 'Pine', 'Earthy']","[100.0, 80.6100217864924, 22.4400871459695, 5.01089324618736, 3.92156862745098, 5.88235294117647]",21.0,0.5
Las Vegas Purple Kush BX,4.83333333333333,6,"['Happy 100', 'Sleepy 80.9523809523809', 'Relaxed 80.9523809523809', 'Uplifted 38.0952380952381', 'Euphoric 38.0952380952381', 'Stress 100', 'Headaches 81.25', 'Eye Pressure 50', 'Fatigue 50', 'Inflammation 50', 'Dry Eyes 100', 'Dry Mouth 100']","Las Vegas Purple Kush BX is a clone-only strain released in 2013 and has been described as Alphakronik Gene’s most potent indica. This backcross consists of Las Vegas Purple Kush and Sin City Kush genetics, creating a similar experience and aroma to Pre-98 Bubba Kush without the coffee smell and with a slightly sweeter aroma. This strain has been known to help with an array of ailments associated with physical pain and gastrointestinal issues.","['Sweet', 'Berry', 'Spicy/Herbal']","[100.0, 12.4859392575928, 0.0, 0.0, 0.0, 0.0]",25.0,0.8
Lashkar Gah,4.75,12,"['Relaxed 100', 'Euphoric 93.75', 'Sleepy 91.6666666666667', 'Happy 45.8333333333333', 'Tingly 43.75', 'Pain 100', 'Stress 95.4545454545455', 'Insomnia 4.54545454545455', 'Lack of Appetite 4.54545454545455', 'Dry Mouth 100', 'Dry Eyes 50']","Lashkar Gah is an indica landrace strain named after its geographic origin in south Afghanistan. Like other Afghani indicas, Lashkar Gah is consistent in its delivery of powerful, sedating effects that promote rest and relaxation. Pain, insomnia, and other severe symptoms collapse under the weight of Lashkar Gah’s heavy effects, and a quick examination of its resin-caked buds explains this indica’s potency. Your body may feel pinned down by Lashkar Gah’s euphoric punch, but your mind will likely float away blissfully as the burdens of stress and anxiety dissolve.","['Earthy', 'Sweet', 'Berry']","[100.0, 33.3333333333333, 0.0, 0.0, 0.0, 0.0]",,0.96
